code,qty
000014,22
000018,-1
000024,83
000025,86
000027,89
000028,69
0000R2,1
0000R3,12
00035Y,0
000P2-2,0
000V2,2
0010KG,0
00440,6
00441,1
00600,0
00660,1
00685A,4
007B,20
00931B,0
00A002,46
00A004,7
00A20,0
00A22,3
00A24,0
00A300,40
00A31,0
00A52,0
00A56,3
00B1,0
00HA104,44
00V4,0
0134,5
030172007888,0
030172057892,0
030172058189,0
030172058219,0
030172058233,1
030172058288,0
030172058295,0
030172058325,0
030172058332,0
030172058363,0
067714102222,8
067714102239,-1
067714102253,2
067714102284,17
067714102291,1
067714102307,13
067714102321,4
067714102338,13
067714102345,0
067714102383,4
067714102413,17
067714102420,11
067714102451,23
067714102468,1
067714102499,17
067714102505,0
067714102536,16
067714102543,0
067714102550,14
067714102567,0
067714102598,13
067714102604,0
067714102611,17
067714102628,4
067714102635,11
067714102703,124
067714102710,14
067714102727,7
067714102734,18
067714102741,9
067714102758,72
067714102765,14
067714102772,82
067714102789,16
067714102819,144
067714102826,12
067714102833,121
067714102840,14
071859475103,1
071859475110,0
097612360608,3
097612361001,0
097612660104,0
1000238 ,1
100107 ,27
10102 ,10300
10103 ,240
10104 ,339
10105 ,10
10106 ,5
10107 ,1
103 ,5
106 ,11
10838200787 ,0
10ML,0
1130 ,2
1168630410602 ,0
1168630512092 ,16
1168630612242 ,13
1168638421907 ,18
1168638899591 ,3
1168638922909 ,1
1168638923906 ,2
121 ,1
1212 ,25
122 ,0
1230 ,24
125ML,1
127 ,2
128 ,0
129 ,2
131 ,28
150017 ,30
1530 ,41
17 ,21
1721612020123 ,8
1722612020120 ,18
1723612020127 ,3
180ML,23
1825 ,7
1B1158,22
1B1160,7
1B1176,3
1C2011,2
1C2012,1
1C2107,3
1C2206,0
1C2207,0
1C2208,0
1C2211,0
1C2213,0
1C2215,0
1C2217,0
1C2302,0
1C2303,0
2000300243051 ,0
2000300243426 ,0
2000900256291 ,3
20ML,5
2168630347600 ,4
2168638050281 ,1
2168638051271 ,0
2168638092717 ,4
23 ,9
250ML,5
2659362464418 ,1
2659362464425 ,22
2659362464432 ,37
2659362464449 ,76
2659362464517 ,0
2659362464524 ,8
2659362465019 ,12
2659362465026 ,0
2659362465118 ,49
2659362465125 ,14
2659362465132 ,28
2659362465149 ,120
2659362465316 ,102
2659362465330 ,0
2659362465347 ,0
2659362465712 ,108
2659362465729 ,2
2659362465736 ,66
2659362541379 ,0
2659362689873 ,0
2659364312823 ,0
2659367050487 ,12
2659367107068 ,9
2659367136013 ,5
2659367136037 ,2
2659367141116 ,55
2659367141123 ,16
2659367141130 ,82
2659367141147 ,38
2659367141413 ,11
2659367141420 ,0
2659367154130 ,0
2659367171878 ,0
2659367207065 ,0
2659367236041 ,0
2659367242196 ,1
2659367242516 ,20
2659367242561 ,0
2659367242592 ,34
2659367242653 ,1
2659367246545 ,44
2659367250474 ,10
2659367260336 ,-1
2659367261937 ,22
2659367267328 ,0
2659367267526 ,0
2659367267564 ,0
2659367267588 ,3
2659367267595 ,5
2659367267649 ,0
2659367267670 ,12
2659367267724 ,0
2659367267731 ,2
2659367267762 ,0
2659367267779 ,15
2659367267786 ,-10
2659367267793 ,13
2659367267809 ,0
2659367267816 ,16
2659367267823 ,0
2659367267830 ,11
2659367267847 ,25
2659367267854 ,1
2659367267861 ,1
2659367267878 ,9
2659367267885 ,0
2659367267892 ,0
2659367267922 ,0
2659367267939 ,1
2659367267946 ,1
2659367267977 ,4
2659367275019 ,49
2659367275026 ,0
2659367275514 ,94
2659367344210 ,2
2659367344227 ,3
2659367344234 ,63
2659367344241 ,14
2659367344715 ,0
2659367344722 ,0
2659367431286 ,0
2659367431545 ,8
2659367504911 ,1
2659367518475 ,0
2659367683722 ,0
2659367706087 ,8
2659367706339 ,1
2659367706742 ,0
2659367714136 ,103
2659367723138 ,0
2659367730563 ,3
2659367731515 ,0
2659367734189 ,14
2659367734448 ,0
2659367736077 ,0
2659367753845 ,1
2659367756198 ,0
2659367756846 ,0
2659367774635 ,24
2659367799744 ,0
2659367799751 ,6
2659367800051 ,0
2659367820677 ,0
2659367823319 ,1
2659367823357 ,12
2659367824279 ,27
2659367824361 ,77
2659367824378 ,0
2659367824385 ,9
2659367824392 ,7
2659367824422 ,1
2659367824446 ,6
2659367824453 ,25
2659367825085 ,3
2659367985055 ,0
2659367985062 ,0
2659367985079 ,11
2659367985093 ,0
2659367985475 ,0
2659367985482 ,0
2659367985499 ,0
2659367985864 ,0
2659367986281 ,0
2659367986298 ,0
2659367986359 ,0
2659367986366 ,0
2659367986380 ,0
2659367986397 ,0
2659367986434 ,0
2659367986441 ,0
2659367986540 ,0
2659367986823 ,0
2659367986830 ,0
2659367986847 ,0
2659367987929 ,0
2659367987936 ,0
2659367987943 ,0
2659367987950 ,0
2659367988414 ,1
2659367988445 ,0
2659367988469 ,0
2659367988896 ,0
2659367991520 ,11
2659367991810 ,0
2659367991827 ,41
2659367998963 ,28
2659367999403 ,33
30 ,53
300001 ,0
300021 ,2
300027 ,0
300028 ,12
300034 ,0
300037 ,1
300038 ,0
300042 ,1
300045 ,1
300054 ,2
300061 ,0
300068 ,2
300069 ,3
300096 ,1
3002 ,2
3003 ,4
30172024313 ,8
30172071508 ,12
30172080272 ,21
30172080289 ,0
30172372018 ,7
30172830747 ,10
3168638063365 ,5
3182550702157 ,0
3182550702201 ,0
3182550702225 ,0
3182550702379 ,0
3182550702423 ,0
3182550707305 ,0
3182550707312 ,0
3182550707329 ,0
3182550721745 ,0
3281014056734 ,5
3281014056741 ,1
3288380911360 ,0
3336020056237 ,0
3336020061316 ,2
3336021340175 ,1
3336021340205 ,0
3336021340557 ,3
3336021371506 ,-2
3336021371513 ,0
3336021371520 ,1
3336021371537 ,0
3336021371544 ,0
3336021390705 ,0
3336021390712 ,0
